"Agressive_Bullying" "Dominance_Bullying" "Anger_Bullying" "Relational_Bullying" "Name_Calling" "IntrusiveBullying" "Family_Torture" "Seeing_Others_Harmed" "Direct_Body_Harm" "Community_Harm" "Close_Harm" "School_Support" "Family_Support" "SocialCoping"
"Agressive_Bullying" 0 0.365658155697549 0.060095659062789 0.354791011701121 0.284771075450933 0.0556752016704947 0 0.0206938688239332 0.0131668832653188 0 0 0 0 -0.089692769312921
"Dominance_Bullying" 0.365658155697549 0 0.130729307273515 0.0768476751027505 0.450020518516963 0.0102877133240865 0 0 0.0887032474649923 -0.0455365998028727 0.00802795136038032 0 0 -0.00155538925691512
"Anger_Bullying" 0.060095659062789 0.130729307273515 0 0.111088091554676 0.0832608652208507 0.0922026841179314 0 0.0256815231700368 0.12599913655789 0 0 -0.0340030287499046 -0.081722470141436 -0.0593167858322815
"Relational_Bullying" 0.354791011701121 0.0768476751027505 0.111088091554676 0 0.028203146482499 0.109746642082718 0 0.0182793190271093 0.0956347294449835 0 0 0 0 0
"Name_Calling" 0.284771075450933 0.450020518516963 0.0832608652208507 0.028203146482499 0 0.03918062779434 0 0 0 0 0 -0.0182639645374716 0 0
"IntrusiveBullying" 0.0556752016704947 0.0102877133240865 0.0922026841179314 0.109746642082718 0.03918062779434 0 0.0172234666404769 -0.0141509574877695 -0.0611751441093408 0.0999935536608263 0 0.0214097288936731 0 0.110931543186155
"Family_Torture" 0 0 0 0 0 0.0172234666404769 0 0.215100530522793 0.023186820760119 0.300592439624504 0.12656736363712 0 0 0.0384890511622737
"Seeing_Others_Harmed" 0.0206938688239332 0 0.0256815231700368 0.0182793190271093 0 -0.0141509574877695 0.215100530522793 0 0.20987077566662 0.30421106299775 0.390139313374767 0 -0.00371410266192779 -0.0196772670438218
"Direct_Body_Harm" 0.0131668832653188 0.0887032474649923 0.12599913655789 0.0956347294449835 0 -0.0611751441093408 0.023186820760119 0.20987077566662 0 -0.0899094204590569 0.345639023256201 0 0 -0.024091211344376
"Community_Harm" 0 -0.0455365998028727 0 0 0 0.0999935536608263 0.300592439624504 0.30421106299775 -0.0899094204590569 0 0 0 0 0.107562032268357
"Close_Harm" 0 0.00802795136038032 0 0 0 0 0.12656736363712 0.390139313374767 0.345639023256201 0 0 0.0407074348151491 0 0
"School_Support" 0 0 -0.0340030287499046 0 -0.0182639645374716 0.0214097288936731 0 0 0 0 0.0407074348151491 0 0.344269352551775 0.238121401602618
"Family_Support" 0 0 -0.081722470141436 0 0 0 0 -0.00371410266192779 0 0 0 0.344269352551775 0 0.135174910655216
"SocialCoping" -0.089692769312921 -0.00155538925691512 -0.0593167858322815 0 0 0.110931543186155 0.0384890511622737 -0.0196772670438218 -0.024091211344376 0.107562032268357 0 0.238121401602618 0.135174910655216 0
